order_id,customer_id,order_date,order_status,order_total,payment_type,shipping_cost,promo_code
1,4471,2023-09-20 13:04:02,Delivered,20055.67,Wallet,13.19,
2,3345,2024-09-29 11:39:02,Delivered,9019.57,Wallet,116.93,DISC10
3,10484,2023-10-07 16:09:07,Delivered,4408.16,NetBanking,104.76,DISC10
4,4723,2023-02-15 01:55:07,Delivered,436.1,Wallet,99.68,DISC10
5,6587,2023-12-03 04:26:07,Delivered,3759.5,NetBanking,87.02,
6,8328,2024-12-24 21:56:24,Delivered,2358.85,UPI,115.9,BULK20
7,9175,2024-02-01 22:11:56,Delivered,9878.57,UPI,48.27,FREESHIP
8,6719,2023-01-08 09:37:56,Delivered,4441.81,Debit Card,106.19,
9,14747,2024-03-09 17:32:43,Delivered,18797.89,UPI,8.23,BULK20
10,8152,2023-03-06 08:44:08,Delivered,1188.14,UPI,93.63,
11,14798,2024-02-24 09:38:11,Shipped,16700.38,Wallet,7.2,FREESHIP
12,14613,2025-01-31 15:14:52,Delivered,14705.69,UPI,65.09,DISC10
13,80,2024-10-01 20:54:00,Delivered,9695.11,NetBanking,78.36,FREESHIP
14,3999,2024-06-19 09:31:20,Delivered,21191.82,UPI,21.43,WELCOME5
15,5575,2023-06-06 07:44:39,Returned,19619.66,Credit Card,75.68,WELCOME5
16,8438,2023-05-29 03:39:41,Delivered,10614.01,NetBanking,85.19,WELCOME5
17,12395,2024-08-19 20:58:07,Delivered,21860.48,NetBanking,53.19,
18,6117,2025-03-03 06:35:11,Delivered,20610.97,Wallet,59.27,FREESHIP
19,14370,2024-04-22 13:46:57,Delivered,8596.72,Debit Card,50.65,
20,8240,2025-03-23 14:29:19,Delivered,4102.34,Debit Card,93.73,FREESHIP
21,6349,2024-07-08 19:50:33,Delivered,6650.94,Wallet,65.96,DISC10
22,6971,2023-11-08 15:56:43,Delivered,7035.68,UPI,141.66,BULK20
23,6504,2024-02-15 03:46:08,Delivered,6432.45,UPI,10.95,
24,3476,2023-06-14 15:25:21,Cancelled,15831.1,Wallet,67.67,WELCOME5
25,2688,2023-03-30 23:30:18,Delivered,10016.45,NetBanking,103.01,
26,4606,2024-08-17 01:44:07,Delivered,146.62,Credit Card,50.43,
27,2078,2025-06-28 05:02:23,Delivered,3529.73,NetBanking,10.72,WELCOME5
28,9275,2023-06-30 01:16:06,Delivered,7431.17,Credit Card,132.67,
29,6634,2024-10-20 01:30:34,Delivered,16765.38,Credit Card,8.57,FREESHIP
30,4677,2023-07-27 06:01:42,Processing,2153.38,Credit Card,81.28,
31,6313,2023-12-05 22:27:19,Shipped,10004.76,Credit Card,7.42,FREESHIP
32,12958,2024-06-14 14:01:01,Delivered,3667.17,Debit Card,48.75,
33,12254,2024-08-28 12:48:09,Delivered,11523.61,UPI,76.18,FREESHIP
34,3543,2024-11-03 11:57:30,Delivered,7395.89,Debit Card,121.95,DISC10
35,4908,2025-01-06 09:12:12,Delivered,29500.85,Wallet,72.27,WELCOME5
36,6119,2023-07-18 16:16:19,Delivered,8128.33,Credit Card,134.89,
37,13667,2024-11-28 06:29:59,Delivered,6759.7,NetBanking,145.93,
38,13501,2025-07-22 12:49:14,Delivered,669.8,Debit Card,143.3,
39,9918,2024-12-05 08:40:57,Delivered,3828.37,UPI,56.15,FREESHIP
40,3236,2025-04-16 11:19:32,Delivered,3152.53,UPI,58.74,
41,7623,2023-12-04 14:43:49,Shipped,355.39,NetBanking,39.22,
42,5824,2024-07-21 05:44:54,Delivered,13758.88,Wallet,4.59,WELCOME5
43,11724,2024-11-29 16:11:53,Delivered,9103.74,Wallet,117.56,DISC10
44,9108,2023-12-26 03:33:31,Delivered,6005.19,NetBanking,109.1,WELCOME5
45,6787,2024-08-30 13:51:19,Delivered,7152.66,Credit Card,122.62,FREESHIP
46,3767,2023-07-29 04:35:37,Delivered,15726.59,UPI,53.98,
47,8557,2023-09-21 13:42:16,Delivered,12219.59,Credit Card,149.91,DISC10
48,8690,2025-08-03 20:32:30,Delivered,17691.26,Credit Card,104.66,BULK20
49,7508,2024-10-03 13:49:24,Delivered,8259.24,NetBanking,78.49,WELCOME5
50,7763,2024-07-08 11:35:23,Cancelled,745.59,NetBanking,84.41,DISC10
51,3422,2024-02-13 08:27:07,Delivered,6810.78,Credit Card,132.19,
52,7894,2024-08-02 10:00:55,Delivered,3605.84,Debit Card,116.15,
53,3335,2024-08-22 12:02:18,Delivered,14361.03,Debit Card,125.37,DISC10
54,8956,2023-06-17 05:52:14,Delivered,13570.14,UPI,25.45,
55,11325,2024-04-23 19:52:21,Processing,1730.53,Debit Card,107.64,
56,2563,2025-05-27 21:19:41,Delivered,5666.01,UPI,1.67,WELCOME5
57,1035,2024-12-16 06:44:30,Processing,8551.03,Debit Card,99.83,
58,884,2025-04-11 02:03:28,Delivered,7234.58,Credit Card,137.42,
59,3212,2025-08-09 06:45:03,Delivered,2101.76,Credit Card,91.06,FREESHIP
