product_id,sku,product_name,category,sub_category,brand,launch_date,cost_price,mrp
1,SKU-100001,Cresta Blocks Series 167,Toys,Blocks,Cresta,2022-10-31,4978.41,10409.13
2,SKU-100002,Zephyr T-Shirt Series 852,Clothing,T-Shirt,Zephyr,2023-05-05,101.94,163.51
3,SKU-100003,Cresta Skincare Lite 829,Beauty,Skincare,Cresta,2024-09-12,4480.57,5409.9
4,SKU-100004,Orion Blocks Series 739,Toys,Blocks,Orion,2022-08-29,788.25,1337.52
5,SKU-100005,Axton Children Plus 45,Books,Children,Axton,2023-04-12,3940.33,6774.49
6,SKU-100006,Primex Beverage Plus 374,Grocery,Beverage,Primex,2022-12-15,3108.76,6329.87
7,SKU-100007,Orion Perfume Series 993,Beauty,Perfume,Orion,2022-11-18,1742.14,2685.65
8,SKU-100008,Luminate Perfume Plus 626,Beauty,Perfume,Luminate,2022-06-11,4375.68,8994.82
9,SKU-100009,Luminate Blocks Pro 771,Toys,Blocks,Luminate,2022-08-08,113.89,264.23
10,SKU-100010,Cresta Blender Plus 240,Home & Kitchen,Blender,Cresta,2024-11-11,1172.12,1679.04
11,SKU-100011,Verde Comics Lite 245,Books,Comics,Verde,2025-02-04,2856.12,7056.01
12,SKU-100012,Neptune Blocks Pro 989,Toys,Blocks,Neptune,2022-08-16,1790.13,2937.45
13,SKU-100013,Verde Academic Plus 926,Books,Academic,Verde,2023-06-06,3071.37,4527.7
14,SKU-100014,Halcyon Fiction Series 377,Books,Fiction,Halcyon,2024-08-07,169.35,286.22
15,SKU-100015,Verde Oil Lite 452,Grocery,Oil,Verde,2024-10-11,626.47,771.91
16,SKU-100016,Halcyon Haircare Plus 788,Beauty,Haircare,Halcyon,2023-02-04,679.13,866.56
17,SKU-100017,Halcyon T-Shirt Pro 797,Clothing,T-Shirt,Halcyon,2023-03-27,986.95,1658.28
18,SKU-100018,Primex Snacks Plus 515,Grocery,Snacks,Primex,2022-06-08,2323.69,5036.42
19,SKU-100019,Axton Snacks Lite 429,Grocery,Snacks,Axton,2023-11-03,3773.04,8906.02
20,SKU-100020,Primex Non-Fiction Series 837,Books,Non-Fiction,Primex,2023-12-08,4532.42,9204.19
21,SKU-100021,Halcyon Dumbbell Series 821,Sports,Dumbbell,Halcyon,2024-02-02,4185.09,5220.09
22,SKU-100022,Orion Soap Lite 142,Beauty,Soap,Orion,2025-04-17,1024.59,2091.01
23,SKU-100023,Luminate Lamp Pro 54,Home & Kitchen,Lamp,Luminate,2024-06-30,2233.7,4444.17
24,SKU-100024,Halcyon Snacks Plus 896,Grocery,Snacks,Halcyon,2023-12-29,1037.09,2310.71
25,SKU-100025,Primex Dress Pro 568,Clothing,Dress,Primex,2023-03-05,1359.14,3065.33
26,SKU-100026,Orion Dumbbell Model 729,Sports,Dumbbell,Orion,2023-06-05,2542.56,5887.26
27,SKU-100027,Primex Racket Lite 872,Sports,Racket,Primex,2025-04-13,387.14,650.31
28,SKU-100028,Verde Bedding Model 292,Home & Kitchen,Bedding,Verde,2022-08-21,1129.96,2346.94
29,SKU-100029,Zephyr Sauce Model 782,Grocery,Sauce,Zephyr,2025-03-08,4680.12,6905.75
30,SKU-100030,Cresta Dress Series 280,Clothing,Dress,Cresta,2025-02-15,2357.28,5891.01
31,SKU-100031,Neptune Haircare Plus 928,Beauty,Haircare,Neptune,2023-12-17,2254.66,3033.57
32,SKU-100032,Primex Laptop Lite 151,Electronics,Laptop,Primex,2023-10-11,122.11,136.05
33,SKU-100033,Neptune Sneakers Plus 94,Clothing,Sneakers,Neptune,2024-07-27,1274.63,1667.64
34,SKU-100034,Summit Lamp Series 837,Home & Kitchen,Lamp,Summit,2024-05-18,4338.15,9484.16
35,SKU-100035,Primex Sneakers Plus 906,Sports,Sneakers,Primex,2025-01-26,864.91,1492.4
36,SKU-100036,Zephyr Skincare Pro 953,Beauty,Skincare,Zephyr,2023-02-15,2104.87,3634.06
37,SKU-100037,Neptune Jeans Model 425,Clothing,Jeans,Neptune,2023-12-09,120.94,294.73
38,SKU-100038,Halcyon Smartwatch Model 406,Electronics,Smartwatch,Halcyon,2023-01-24,2417.76,5772.38
39,SKU-100039,Primex Charger Lite 383,Electronics,Charger,Primex,2023-03-10,154.05,236.57
40,SKU-100040,Axton Children Series 396,Books,Children,Axton,2025-03-10,4107.07,5719.84
41,SKU-100041,Cresta Children Model 384,Books,Children,Cresta,2025-08-09,4133.03,9455.86
42,SKU-100042,Zephyr Doll Series 29,Toys,Doll,Zephyr,2025-01-09,3949.32,9353.67
43,SKU-100043,Neptune Cooker Pro 954,Home & Kitchen,Cooker,Neptune,2022-10-30,1452.65,2699.37
44,SKU-100044,Zephyr Instant Noodles Model 860,Grocery,Instant Noodles,Zephyr,2022-08-03,4194.32,8309.76
45,SKU-100045,Orion T-Shirt Pro 811,Clothing,T-Shirt,Orion,2023-02-15,2737.84,3996.37
46,SKU-100046,Cresta T-Shirt Series 141,Clothing,T-Shirt,Cresta,2024-03-27,1900.35,4220.91
47,SKU-100047,Halcyon Spices Model 294,Grocery,Spices,Halcyon,2024-06-27,3145.38,6243.49
48,SKU-100048,Primex Puzzle Plus 713,Toys,Puzzle,Primex,2023-07-01,111.09,200.51
49,SKU-100049,Primex Sneakers Series 778,Sports,Sneakers,Primex,2024-03-17,757.66,897.18
50,SKU-100050,Primex Sneakers Plus 460,Sports,Sneakers,Primex,2022-12-27,3724.35,8872.55
51,SKU-100051,Cresta Toy Car Lite 6,Toys,Toy Car,Cresta,2023-06-14,1258.6,2468.91
52,SKU-100052,Axton Sneakers Model 20,Sports,Sneakers,Axton,2023-03-03,3010.15,4123.21
53,SKU-100053,Summit Fiction Pro 221,Books,Fiction,Summit,2022-08-03,1956.26,3812.63
54,SKU-100054,Luminate Socks Series 562,Clothing,Socks,Luminate,2023-04-14,4281.29,8770.0
